document	token_label	emotion_label
We're both a bit drunk and we're happy with this wonderful iPod and I can't even believe it exists and I'm holding it in my hand Thank you	O O O O O O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O	happiness
But as soon as they checked in he braced himself and sure enough his phone rang a minute later I hate my room Jobs declared @ It's a piece of shit let's go @ So Ive gathered his luggage and went to the front desk where Jobs bluntly told the shocked clerk what he thought.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O B-EMO O O O O	surprise
Bewkes didn't agree with any of those premises He said he was happy for Apple to sell digital subscriptions for Time Inc Apple's 30% take was not the problem I'm telling you right now if you sell a sub for us you can have 30% Bewkes told him.	O O O O O O O O O O O O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O O O O O O O O O O O	happiness
They are scared to death because they know they are guilty	O O B-EMO O B-CAU O O O O O O	fear
What did he think of the suggestion that Apple sometimes acted arrogantly I'm not worried about that he said because we're not arrogant.	O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O B-EMO I-EMO O O O O O O O	fear
Powell worried that her husband would again cancel so she was thrilled when the whole family took off in early July for Kona Village Hawaii which was the first leg of the trip.	O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O O O O O O O O O O	fear
During this expedition Speke reached the most southerly point of the lake and gave it its present name Speke arrived back in England in the spring of 1859 Burton being left behind on account of his illness The relations between the two had become strained and this was accentuated by Speke's hast to publish the account of his explorations He was given the command of another expedition which left England in April 1860 in company with Captain James Augustus Grant to ascertain still further if the Victoria Nyanza were indeed the source of the Nile.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O B-EMO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	sadness
"The district chief is absolute though guided in great measure by his ""grey-beards "" who constantly attend his residence and talk over their affairs of state These commonly concern petty internal matters for they are too selfish and too narrow-minded to care for anything but their own private concerns The grey-beards circulate the orders of the chief amongst the village chiefs who are fined when they do not comply with them and hence all orders are pretty well obeyed."	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	disgust
Lines of traffic are the worst tracks (there are no roads in the districts here referred to) for a traveller to go upon not only because the hospitality of the people has been damped by frequent communication with travellers but by intercourse with the semi- civilised merchant their natural honour and honesty are corrupted their cupidity is increased and the show of firearms ceases to frighten them.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU O B-CAU I-CAU I-CAU I-CAU I-CAU O B-EMO O	surprise
and judging from the progressive state of the world one is led to suppose that the African must soon either step out from his darkness or be superseded by a being superior to himself Could a government be formed for them like ours in India they would be saved but without it I fear there is very little chance for at present the African neither can help himself nor will he be helped about by others because his country is in such a constant state of turmoil he has too much anxiety on hand looking out for his food to think of anything else	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	fear
The slave in this new position finds himself much better off than he ever was in his life before with this exception that as a slave he feels himself much degraded in the social scale of society and his family ties are all cut off from him--probably his relations have all been killed in the war in which he was captured Still after the first qualms have worn off we find him much attached to his master who feeds him and finds him in clothes in return for the menial services which he performs In a few years after capture or when #confidence has been gained by the attachment shown by the slave if the master is a trader in ivory he will intrust him with the charge of his stores and send him all over the interior of the continent to purchase for him both slaves and ivory	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO I-EMO O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	happiness
Still after the first qualms have worn off we find him much attached to his master who feeds him and finds him in clothes in return for the menial services which he performs In a few years after capture or when confidence has been gained by the attachment shown by the slave if the master is a trader in ivory he will intrust him with the charge of his stores and send him all over the interior of the continent to purchase for him both slaves and ivory but should the master die according to the Mohammedan creed the slaves ought to be freed In Arabia this would be the case but at Zanzibar it more generally happens that the slave is willed to his successor.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O B-EMO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	disgust
"on the march he is no better If you give him a gun and some ammunition to protect him in case of emergencies he will promise to save it but forthwith expends it by firing it off in the air and demands more else he will fear to venture amongst the ""savages Suppose you give him a box of bottles to carry or a desk or anything else that requires great care and you caution him of its contents the first thing he does is to commence swinging it round and round or putting it topsy-turvy on the top of his head when he will run off at a jog-trot singing and laughing in the most provoking manner and thinking no more about it than if it were an old stone"	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO O B-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	surprise
On the 17th after the anchor was cast without a moment's delay I went off to the British Consulate to see my old friend Colonel Rigby He was delighted to see us and in anticipation of our arrival had prepared rooms for our reception that both Captain Grant and myself might enjoy his hospitality until arrangements could be made for our final start into the interior.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO O B-CAU I-CAU O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	happiness
To call on the Sultan of course was our first duty He received us in his usually affable manner made many trite remarks concerning our plans was surprised if my only object in view was to see the great river running out of the lake that I did not go by the more direct route across the Masai country and Usoga	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O	surprise
Colonel Rigby who had at heart as much as anybody the success of the expedition materially assisted me in accomplishing my object--that men accustomed to discipline and a knowledge of English honour and honesty should be enlisted to give confidence to the rest of the men and he allowed me to select from his boat's crew any men I could find who had served as men-of-war and had seen active service in India.	O O O O O O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O B-EMO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	happiness
On my return to Zanzibar the Brisk sailed for the Mauritius but fortune sent Grant and myself on a different cruise Sultan Majid having heard that a slaver was lying at Pangani and being anxious to show his good faith with the English begged me to take command of one his vessels of war and run it down Accordingly embarking at noon as soon as the vessel could be got ready we lay-to that night at Tombat with a view of surprising the slaver next morning	O O O O O O O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O B-EMO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	happiness
We had a brave crew of young negroes to pull us but pull as they would the current was so strong that we feared if we persisted we should be drawn into the broad Indian Ocean so changing our line we bore into the little coralline island Maziwa where after riding over some ugly coral surfs we put in for the night.	O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O B-EMO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	fear
They both knew Hindustani but while Rahan's services at sea had been short Baraka had served nearly all his life with Englishmen--was the smartest and most intelligent negro I ever saw--was invaluable to Colonel Rigby as a detector of slave-traders and enjoyed his confidence completely--so much so that he said on parting with him that he did not know where he should be able to find another man to fill his post.	O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O B-EMO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	happiness
wo taxes in five miles was a thing unheard of and I heard no more about the matter until Bombay in the evening told me how Sheikh Said fearing awkward consequences had settled to give two dubuani one being taken from his own store Lion's Claw also turned up again getting his cloths of yesterday--one more being added from the Sheikh's stores--and he was then advised to go off quietly as I was a fire-eater whom nobody dared approach after my orders had been issued.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO B-CAU I-CAU O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	fear
At the advice of Musa I sent Maula's son off at night to tell the old chief how sorry I was to find the Arabs so hot-headed I could not even effect an arrangement with them It was a great pity for Manua Sera was so much liked by the Wanyamuezi they would had they been able have done anything to restore him.	O O O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O B-EMO O O O O O O O O O O O O O O O O O O O O O O	sadness
"Next day the non-belligerent Arabs left in charge of the station headed by my old friends Abdulla and Mohinna came to pay their respects again recognising in me as they said a ""personification of their sultan "" and therefore considering what they were doing only due to my rank They regretted with myself that Snay was so hot-headed for they themselves thought a treaty of peace would have been the best thing for them for they were more than half-ruined already and saw no hope for the future Then turning to geography I told Abdulla all I had written and lectured in England concerning his stories about navigators on the N'yanza which I explained must be the Nile and wished to know if I should alter it in any way:"	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO O O O B-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	sadness
