clause	token_label	emotion-label	doc_id
and complained that it was taking too long to boot up.	O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	disgust	41
He also admired the design of the Mercedes.	O O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU	happiness	42
He had just come up with a brilliant algorithm that could draw circles and ovals onscreen quickly	O O O O O O O O O O O O O O O O O	surprise	44
The math for making circles usually required calculating square roots	O O O O O O O O O O	surprise	44
which the 68000 microprocessor didn't support	O O O O O O	surprise	44
But Atkinson did a workaround based on the fact that the sum of a sequence of odd numbers produces a sequence of perfect squares (for example	O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O	surprise	44
1 + 3 = 4	O O O O O	surprise	44
1 + 3 + 5 = 9	O O O O O O O	surprise	44
etc	O	surprise	44
Hertzfeld recalled that when Atkinson fired up his demo	O O O O O O O O O	surprise	44
everyone was impressed except Jobs.	O O B-EMO O O	surprise	44
Atkinson had been left out of the publicity interviews for the Lisa launch	O O O O O O O O O O O O O	anger	47
and he marched into Jobs's hotel room and threatened to quit	O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	anger	47
Jobs tried to minimize the slight	O O O O O O	anger	47
but Atkinson refused to be mollified	O O O O O O	anger	47
Jobs got annoyed.	O O B-EMO	anger	47
But by the time the Lisa was ready to ship in the spring of 1983	O O O O O O O O O O O O O O O	fear	48
it was clear that the Twiggy was buggy	O O O O B-CAU I-CAU I-CAU I-CAU	fear	48
Because the Lisa also came with a hard-disk drive	O O O O O O O O O	fear	48
this was not a complete disaster	O O O O O O	fear	48
But the Mac had no hard disk	O O O O O O O	fear	48
so it faced a crisis	O O O O O	fear	48
The Mac team was beginning to panic	O O O O O O B-EMO	fear	48
said Hertzfeld.	O O	fear	48
A few days later he drove to Apple's factory in San Jose to see the Twiggy being made	O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	anger	49
More than half were rejected	O O O O O	anger	49
Jobs erupted	O B-EMO	anger	49
With his face flushed	O O O O	anger	49
he began shouting and sputtering about firing everyone who worked there.	O O B-EMO I-EMO I-EMO O O O O O O	anger	49
He took them to visit a computer store	O O O O O O O O	surprise	50
where he was struck by how poorly the products were marketed.	O O B-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	surprise	50
When he arrived at Apple headquarters	O O O O O O	surprise	51
Sculley was startled by the unassuming offices and casual atmosphere.	O B-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	surprise	51
The explanation that Sculley might buy a lot of Macintoshes for Pepsi sounded a little bit fishy to me	O O O O O O O O O O O O O O O O O O O	happiness	53
Hertzfeld recalled	O O	happiness	53
but he and Susan Kare created a screen of Pepsi caps and cans that danced around with the Apple logo	O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	53
Hertzfeld was so excited he began waving his arms around during the demo	O O O O O O B-EMO I-EMO I-EMO I-EMO O O O	happiness	53
but Sculley seemed underwhelmed.	O O O O	happiness	53
To him	O O	anger	55
the marketing costs were like any other production cost and needed to be factored into the price	B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	anger	55
Jobs resisted furiously.	O B-EMO I-EMO	anger	55
So Jobs promised them	O O O O	anger	56
don't worry	O O	anger	56
I'm not going to let him get away with it	O O O O O O O O O O	anger	56
But in the end	O O O O	anger	56
Sculley prevailed	O O	anger	56
Even twenty-five years later Jobs seethed when recalling the decision: It's the main reason the Macintosh sales slowed and Microsoft got to dominate the market.	O O O O O B-EMO O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	anger	56
Hertzfeld	O	happiness	57
who took great pride that they could achieve their functionality solely using software	O B-EMO I-EMO I-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	57
replied	O	happiness	57
We don't have any special hardware for it	O O O O O O O O	happiness	57
Gates insisted that it was necessary to have special hardware to move the cursor that way.	O O O O O O O O O O O O O O O O	happiness	57
Despite their mutual wariness	O O O O	happiness	58
both teams were excited by the prospect that Microsoft would create graphical software for the Macintosh that would take personal computing into a new realm	O O O B-EMO O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	58
and they went to dinner at a fancy restaurant to celebrate.	O O O O O O O O O O O	happiness	58
But this arrangement upset competing software makers	O O O B-EMO O O O	happiness	59
In addition	O O	happiness	59
it seemed that some of Microsoft's programs might be late	O O O O O O O O O O	happiness	59
So Jobs invoked a provision in his deal with Microsoft and decided not to bundle its software	O O O O O O O O O O O O O O O O O	happiness	59
Microsoft would have to scramble to distribute its software as products sold directly to consumers.	B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	59
As Jobs and his team began to work closely with Microsoft	O O O O O O O O O O O	fear	60
they grew worried that it would copy Macintosh's graphical user interface.	O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	fear	60
After Jobs talked about the just-in-time production schedules	O O O O O O O O	anger	62
she asked about overtime pay	B-CAU I-CAU I-CAU I-CAU I-CAU	anger	62
He was annoyed	O O B-EMO	anger	62
so he described how automation helped him keep down labor costs	O O O O O O O O O O O	anger	62
a subject he knew would not delight her.	O O O O O O O O	anger	62
Is it hard work	O O O O	disgust	63
she asked	O O	disgust	63
@ How much vacation time do they get	O O O O O O O O	disgust	63
Jobs couldn't contain himself	O B-EMO I-EMO I-EMO	disgust	63
bs replied	O O	disgust	63
I'm in a hurry	O O O O	disgust	63
##Amazingly	O	disgust	63
the officer didn't get mad.	B-CAU I-CAU I-CAU I-CAU I-CAU	disgust	63
When Jobs made his usual threat about cutting down on France's allocations if Gass��e didn't jack up sales projections	O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	anger	65
Gass��e got angry.	O B-EMO I-EMO	anger	65
I was furious because the Mac XL wasn't real	O O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	anger	66
said Hoffman	O O	anger	66
It was just to blow the excess Lisas out the door.	O O O O O O O O O O O	anger	66
The venture capitalist Don Valentine marveled at the change in the decade since that time.	O O O O O B-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	surprise	67
By early 1985 Burrell Smith was also ready to leave	O O O O O O O O O O	fear	69
He had worried that it would be hard to quit if Jobs tried to talk him out of it	O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	fear	69
There he happened to see sketches that the firm had made for Wozniak's new remote control device	O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	anger	70
and he flew into a rage.	O O B-EMO I-EMO I-EMO I-EMO	anger	70
Sculley's wife was surprised to see him back in the middle of the day	O O B-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	surprise	73
I've failed	O O	surprise	73
he said to her forlornly.	O O O O O	surprise	73
His ire stoked by hearing from Markkula that Jobs had spent the previous evening trying to subvert him	O B-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	anger	74
Sculley walked over to Jobs's office on Tuesday morning.	O O O O O O O O O	anger	74
He warned them that there were strict laws against sharing technology with the Soviets	O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	anger	76
Jobs was annoyed.	O O B-EMO	anger	76
Lewin's university consortium had been a godsend to the Macintosh group	O O O O O O O O O O O	sadness	77
but he had become frustrated after Jobs left and Bill Campbell had reorganized marketing in a way that reduced the role of direct sales to universities.	O O O O B-EMO O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	sadness	77
What particularly struck Nocera was Jobs's almost willful lack of tact.	O O B-EMO O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	surprise	79
In the spring of 1988 cash was running so short that he convened a meeting to decree deep spending cuts across the board	O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	fear	80
When it was over	O O O O	fear	80
Lasseter and his animation group were almost too afraid to ask Jobs about authorizing some extra money for another short.	O O O O O O O O B-EMO O O O O O O O O O O O	fear	80
Jobs had been reluctant to let Paul and Clara	O O O O O O O O O	anger	81
whom he considered his real parents	O O O O O O	anger	81
know about his search for his birth mother	O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	anger	81
With a sensitivity that was unusual for him	O O O O O O O O	anger	81
and which showed the deep affection he felt for his parents	O O O O O O O O O O O	anger	81
he worried that they might be offended.	O O O O O O B-EMO	anger	81
Joanne was overcome with emotion when Jobs arrived at her Los Angeles house	O O B-EMO I-EMO I-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	82
She knew he was famous and rich	O O O O O O O	happiness	82
but she wasn't exactly sure why.	O O O O O O	happiness	82
Jobs was thrilled to find that he had a sibling who was so similar to him.	O B-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	83
I don't hold anything against him��I'm happy to be alive	O O O O O O O O O O	disgust	84
But what bothers me most is that he didn't treat Mona well	O O B-EMO O O O O B-CAU I-CAU I-CAU I-CAU I-CAU	disgust	84
He abandoned her.	O O O	disgust	84
Redse came from a troubled family	O O O O O O	sadness	85
and Jobs shared with her his own pain about being put up for adoption.	O O O O O O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU	sadness	85
On occasion this could backfire	O O O O O	fear	86
such as when Jobs and Ive insisted on using a solid piece of brushed aluminum for the edge of the iPhone 4 even when the engineers worried that it would compromise the antenna	O O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU	fear	86
But usually the distinctiveness of its designs�for the iMac	O O O O O O O O O	fear	86
the iPod	O O	fear	86
the iPhone	O O	fear	86
and the iPad�would set Apple apart and lead to its triumphs in the years after Jobs returned.	O O O O O O O O O O O O O O O O O	fear	86
He was proud that his father never adopted a servile attitude or slick style that may have made him a better salesman.	O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	89
So I am pleased to announce today that I'm going to drop the interim title	O O B-EMO I-EMO I-EMO O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	95
he said with a big smile.	O O O O O O	happiness	95
I was really   nervous	O O O B-EMO O O	fear	98
because he was one of my heroes	B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	fear	98
And I was also afraid that he   wouldn't be really smart anymore	O O O O O O O O O O O O B-CAU O	fear	98
that he'd be a caricature of himself	O O O O O O O	fear	98
like   happens to a lot of people	O O O O O O O O O	fear	98
But I was delighted	O O O O	fear	98
He was as sharp as a tack.	O O O O O O O	fear	98
We're both a bit drunk	O O O O O	happiness	99
and we're happy with this wonderful iPod and I can't even believe it exists and I'm holding it in my hand	O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	99
Thank you	O O	happiness	99
But as soon as they checked in	O O O O O O O	surprise	100
he braced himself	O O O	surprise	100
and sure enough his phone rang a minute later	O O O O O O O O O	surprise	100
I hate my room	O O O O	surprise	100
Jobs declared	O O	surprise	100
@ It's a piece of shit	O O O O O O	surprise	100
let's go	O O	surprise	100
@ So Ive gathered his luggage and went to the front desk	O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	surprise	100
where Jobs bluntly told the shocked clerk what he thought.	O O O O O B-EMO O O O O	surprise	100
Bewkes didn't agree with any of those premises	O O O O O O O O	happiness	102
He said he was happy for Apple to sell digital subscriptions for Time Inc	O O O O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	102
Apple's 30% take was not the problem	O O O O O O O	happiness	102
I'm telling you right now	O O O O O	happiness	102
if you sell a sub for us	O O O O O O O	happiness	102
you can have 30%	O O O O	happiness	102
Bewkes told him.	O O O	happiness	102
They are scared to death	O O B-EMO O B-CAU	fear	103
because they know they are guilty	O O O O O O	fear	103
What did he think of the suggestion that Apple sometimes acted arrogantly	O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	fear	104
I'm not worried about that	O O B-EMO I-EMO O	fear	104
he said	O O	fear	104
because we're not arrogant.	O O O O	fear	104
Powell worried that her husband would again cancel	O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU	fear	105
so she was thrilled when the whole family took off in early July for Kona Village	O O O O O O O O O O O O O O O O	fear	105
Hawaii	O	fear	105
which was the first leg of the trip.	O O O O O O O O	fear	105
During this expedition Speke reached the most southerly point of the lake	O O O O O O O O O O O O	sadness	106
and gave it its present name	O O O O O O	sadness	106
Speke arrived back in England in the spring of 1859	O O O O O O O O O O	sadness	106
Burton being left behind on account of his illness	B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	sadness	106
The relations between the two had become strained	O O O O O O O B-EMO	sadness	106
and this was accentuated by Speke's hast to publish the account of his explorations	O O O O O O O O O O O O O O	sadness	106
He was given the command of another expedition which left England in April 1860	O O O O O O O O O O O O O O	sadness	106
in company with Captain James Augustus Grant	O O O O O O O	sadness	106
to ascertain still further if the Victoria Nyanza were indeed the source of the Nile.	O O O O O O O O O O O O O O O	sadness	106
The district chief is absolute	O O O O O	disgust	107
"though guided in great measure by his ""grey-beards"	O O O O O O O O	disgust	107
""" who constantly attend his residence"	O O O O O O	disgust	107
and talk over their affairs of state	O O O O O O O	disgust	107
These commonly concern petty internal matters	O O O O O O	disgust	107
for they are too selfish and too narrow-minded to care for anything but their own private concerns	O O O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	disgust	107
The grey-beards circulate the orders of the chief amongst the village chiefs	O O O O O O O O O O O O	disgust	107
who are fined when they do not comply with them	O O O O O O O O O O	disgust	107
and hence all orders are pretty well obeyed.	O O O O O O O O	disgust	107
Lines of traffic are the worst tracks (there are no roads in the districts here referred to) for a traveller to go upon	O O O O O O O O O O O O O O O O O O O O O O O	surprise	110
not only because the hospitality of the people has been damped by frequent communication with travellers	O O O O O O O O O O O O O O O O	surprise	110
but	O	surprise	110
by intercourse with the semi- civilised merchant	O O O O O O O	surprise	110
their natural honour and honesty are corrupted	O O O O O O O	surprise	110
their cupidity is increased	B-CAU I-CAU I-CAU I-CAU	surprise	110
and the show of firearms ceases to frighten them.	O B-CAU I-CAU I-CAU I-CAU I-CAU O B-EMO O	surprise	110
and judging from the progressive state of the world	O O O O O O O O O	fear	111
one is led to suppose that the African must soon either step out from his darkness	O O O O O O O O O O O O O O O O	fear	111
or be superseded by a being superior to himself	O O O O O O O O O	fear	111
Could a government be formed for them like ours in India	O O O O O O O O O O O	fear	111
they would be saved	O O O O	fear	111
but without it	O O O	fear	111
I fear there is very little chance	O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU	fear	111
for at present the African neither can help himself nor will he be helped about by others	O O O O O O O O O O O O O O O O O	fear	111
because his country is in such a constant state of turmoil he has too much anxiety on hand looking out for his food to think of anything else	O O O O O O O O O O O O O O O O O O O O O O O O O O O O	fear	111
The slave in this new position finds himself much better off than he ever was in his life before	O O O O O O O O O O O O O O O O O O O	happiness	113
with this exception	O O O	happiness	113
that as a slave he feels himself much degraded in the social scale of society	O O O O O O O O O O O O O O O	happiness	113
and his family ties are all cut off from him--probably his relations have all been killed in the war in which he was captured	O O O O O O O O O O O O O O O O O O O O O O O O	happiness	113
Still	O	happiness	113
after the first qualms have worn off	O O O O O O O	happiness	113
we find him much attached to his master	O O O O O O O O	happiness	113
who feeds him and finds him in clothes in return for the menial services which he performs	O O O O O O O O O O O O O O O O O	happiness	113
In a few years after capture	O O O O O O	happiness	113
or when #confidence has been gained by the attachment shown by the slave	O O B-EMO I-EMO O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	113
if the master is a trader in ivory	O O O O O O O O	happiness	113
he will intrust him with the charge of his stores	O O O O O O O O O O	happiness	113
and send him all over the interior of the continent to purchase for him both slaves and ivory	O O O O O O O O O O O O O O O O O O	happiness	113
Still	O	disgust	114
after the first qualms have worn off	O O O O O O O	disgust	114
we find him much attached to his master	O O O O O O O O	disgust	114
who feeds him and finds him in clothes in return for the menial services which he performs	O O O O O O O O O O O O O O O O O	disgust	114
In a few years after capture	O O O O O O	disgust	114
or when confidence has been gained by the attachment shown by the slave	O O O O O O O O O O O O O	disgust	114
if the master is a trader in ivory	O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	disgust	114
he will intrust him with the charge of his stores	O O B-EMO O O O O O O O	disgust	114
and send him all over the interior of the continent to purchase for him both slaves and ivory	O O O O O O O O O O O O O O O O O O	disgust	114
but should the master die	O O O O O	disgust	114
according to the Mohammedan creed the slaves ought to be freed	O O O O O O O O O O O	disgust	114
In Arabia this would be the case	O O O O O O O	disgust	114
but at Zanzibar it more generally happens that the slave is willed to his successor.	O O O O O O O O O O O O O O O	disgust	114
on the march he is no better	O O O O O O O	surprise	115
If you give him a gun and some ammunition to protect him in case of emergencies	O O O O O O O O O O O O O O O O	surprise	115
he will promise to save it	O O O O O O	surprise	115
but forthwith expends it by firing it off in the air	O O O O O O O O O O O	surprise	115
and demands more	O O O	surprise	115
"else he will fear to venture amongst the ""savages"	O O O B-EMO O B-CAU I-CAU I-CAU I-CAU	surprise	115
Suppose you give him a box of bottles to carry	O O O O O O O O O O	surprise	115
or a desk	O O O	surprise	115
or anything else that requires great care	O O O O O O O	surprise	115
and you caution him of its contents	O O O O O O O	surprise	115
the first thing he does is to commence swinging it round and round	O O O O O O O O O O O O O	surprise	115
or putting it topsy-turvy on the top of his head	O O O O O O O O O O	surprise	115
when he will run off at a jog-trot	O O O O O O O O	surprise	115
singing and laughing in the most provoking manner	O O O O O O O O	surprise	115
and thinking no more about it than if it were an old stone	O O O O O O O O O O O O O	surprise	115
On the 17th	O O O	happiness	116
after the anchor was cast	O O O O O	happiness	116
without a moment's delay I went off to the British Consulate to see my old friend Colonel Rigby	O O O O O O O O O O O O O O O O O O	happiness	116
He was delighted to see us	O O B-EMO O B-CAU I-CAU	happiness	116
and	O	happiness	116
in anticipation of our arrival	O O O O O	happiness	116
had prepared rooms for our reception	O O O O O O	happiness	116
that both Captain Grant and myself might enjoy his hospitality until arrangements could be made for our final start into the interior.	O O O O O O O O O O O O O O O O O O O O O O	happiness	116
To call on the Sultan	O O O O O	surprise	117
of course	O O	surprise	117
was our first duty	O O O O	surprise	117
He received us in his usually affable manner	O O O O O O O O	surprise	117
